reference_side,C5_zone,n,median_MFE_pct_prior_8h,p75_MFE_pct_prior_8h,p90_MFE_pct_prior_8h
up_from_C5_high,0-10%,74,1.0796949388988741,14.428981076854718,34.25693016007969
up_from_C5_high,10-25%,255,0.0,12.378373319147844,33.73346080349796
up_from_C5_high,25-40%,386,0.0,14.111051819257163,27.301735918478315
up_from_C5_high,40-50%,271,0.0,10.883433942673086,32.4789715918109
up_from_C5_high,50-60%,266,0.2968389910713166,16.9266613979313,42.65127589490907
up_from_C5_high,60-75%,441,0.15748812638782617,19.04992729035524,48.469552676730835
up_from_C5_high,75-90%,522,0.0,14.294363720516959,45.92315273940042
up_from_C5_high,90-100%,1112,0.0,17.080969215417827,56.21686344392754
down_from_C5_low,0-10%,1058,0.0,23.129176799172566,58.81660695674311
down_from_C5_low,10-25%,504,0.0,11.581883993308642,40.39450271063842
down_from_C5_low,25-40%,451,0.0,15.2666258161514,46.034260817905334
down_from_C5_low,40-50%,283,0.0,16.39504919997772,42.05657671175845
down_from_C5_low,50-60%,269,0.0,19.36177555950849,44.37352959158911
down_from_C5_low,60-75%,430,0.0,16.77042925931049,32.13804549160806
down_from_C5_low,75-90%,245,0.0,13.620476876843027,27.77290159201175
down_from_C5_low,90-100%,87,0.0,11.435233469683045,30.21602828437151
